Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock
Kacha Golla,Sweet Item,,,pcs,,Local,,18.50,NA,0,Inclusive,25.00,0
Malay Chop,Sweet Item,,,pcs,,Local,,23.00,NA,0,Inclusive,25.00,0
Khir Chop,Sweet Item,,,pcs,,Local,,75.00,NA,0,Inclusive,100.00,0
Balusha Misty,Sweet Item,,,pcs,,Local,,14.50,NA,0,Inclusive,20.00,0
Lal Chomchom,Sweet Item,,,pcs,,Local,,13.50,NA,0,Inclusive,20.00,0
Khir Toast,Sweet Item,,,pcs,,Local,,18.00,NA,0,Inclusive,25.00,0
Chana Sondes,Sweet Item,,,pcs,,Local,,18.50,NA,0,Inclusive,25.00,0
Sponse Misty,Sweet Item,,,pcs,,Local,,8.00,NA,0,Inclusive,13.00,0
Irani Vog,Sweet Item,,,pcs,,Local,,20.00,NA,0,Inclusive,25.00,0
Ros Malay,Sweet Item,,,kg,,Local,,225.00,NA,0,Inclusive,340.00,0
HalfSi Sondes,Sweet Item,,,pcs,,Local,,17.50,NA,0,Inclusive,25.00,0
Khir Mohon,Sweet Item,,,pcs,,Local,,23.00,NA,0,Inclusive,25.00,0
Misty Dai,Sweet Item,,,kg,,Local,,150.00,NA,0,Inclusive,230.00,0
Tok Dai,Sweet Item,,,kg,,Local,,115.00,NA,0,Inclusive,200.00,0
Cup Dai,Sweet Item,,,pcs,,Local,,16.00,NA,0,Inclusive,25.00,0
Misty Pattest,Bakery Item,,,pcs,,Local,,5.00,NA,0,Inclusive,6.00,0
Jhal Pattest,Bakery Item,,,pcs,,Local,,10.00,NA,0,Inclusive,12.00,0
Jhal Bon,Bakery Item,,,pcs,,Local,,8.00,NA,0,Inclusive,10.00,0
Butter Bon,Bakery Item,,,pcs,,Local,,8.00,NA,0,Inclusive,10.00,0
Chicken Burger,Bakery Item,,,pcs,,Local,,55.00,NA,0,Inclusive,60.00,0
Kata Bon,Bakery Item,,,pcs,,Local,,12.00,NA,0,Inclusive,15.00,0
Modhu Bon,Bakery Item,,,pcs,,Local,,8.00,NA,0,Inclusive,10.00,0
Bati Cake,Bakery Item,,,pcs,,Local,,8.00,NA,0,Inclusive,10.00,0
Fruits Cake,Bakery Item,,,pcs,,Local,,55.00,NA,0,Inclusive,60.00,0
Rex Coffee,Drink,,,cup,,Local,,10.00,NA,0,Inclusive,15.00,0
Milk Tea,Drink,,,cup,,Local,,8.80,NA,0,Inclusive,12.00,0
Dim Khichuri,Food,,,Plate,,Local,,38.00,NA,0,Inclusive,50.00,0
Chicken Tehary,Food,,,Plate,,Local,,44.00,NA,0,Inclusive,50.00,0
Muglay,Food,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,0
Halim,Food,,,Plate,,Local,,55.00,NA,0,Inclusive,60.00,0
Noodles,Food,,,Plate,,Local,,24.00,NA,0,Inclusive,30.00,0
Chicken Chap,Food,,,pcs,,Local,,95.00,NA,0,Inclusive,110.00,0
Bosnia Ruti,Food,,,pcs,,Local,,10.00,NA,0,Inclusive,15.00,0
Chotpoti,Food,,,Plate,,Local,,34.00,NA,0,Inclusive,40.00,0
Fushka,Food,,,Plate,,Local,,34.00,NA,0,Inclusive,40.00,0
Vapa Pita,Food,,,pcs,,Local,,12.00,NA,0,Inclusive,15.00,0
Chitoi Pita,Food,,,pcs,,Local,,4.50,NA,0,Inclusive,5.00,0
Porata,Food,,,pcs,,Local,,6.00,NA,0,Inclusive,10.00,0
Dim Vaji,Food,,,pcs,,Local,,16.00,NA,0,Inclusive,20.00,0
Mix Vegetable,Food,,,Plate,,Local,,25.00,NA,0,Inclusive,30.00,0
Murgir Lotpoti,Food,,,Plate,,Local,,25.00,NA,0,Inclusive,30.00,0
Liquid Milk,Drink,,,Liter,,Local,,70.00,NA,0,Inclusive,0.00,174
Dim,Food,,,pcs,,Local,,11.00,NA,0,Inclusive,0.00,0
Ata,Grocery,,,kg,,Local,,0.00,NA,0,Inclusive,0.00,0
Sugur,Grocery,,,kg,,Local,,0.00,NA,0,Inclusive,0.00,0